id,air_temp,actual_temp
1,64.76,64.76
2,63.84,63.86
3,64.22,64.22
4,64.4,64.4
5,64.4,64.4
6,63.5,63.5
7,62.78,62.78
8,62.42,62.42
9,62.24,62.24
10,62.24,62.24
11,62.24,62.24
12,63.14,63.14
13,63.75,64.04
14,64.4,64.4
15,64.94,64.94
16,65.48,65.48
17,65.48,65.48
18,64.94,64.94
19,64.04,64.04
20,63.32,63.32
21,63.32,63.32
22,63.32,63.32
23,63.32,63.32
24,63.69,63.32
25,63.5,63.5
26,63.86,63.86
27,63.68,63.68
28,63.5,63.5
29,63.14,63.14
30,62.78,62.78
31,62.6,62.6
32,62.78,62.78
33,62.96,62.96
34,63.14,63.14
35,63.83,63.14
36,63.32,63.32
37,63.32,63.32
38,63.5,63.5
39,63.86,63.86
40,64.04,64.04
41,64.04,64.04
42,64.04,64.04
43,63.86,63.86
44,64.04,64.04
45,64.04,64.04
46,63.69,64.22
47,64.22,64.22
48,64.22,64.22
49,64.22,64.22
50,63.86,63.86
51,63.68,63.68
52,63.86,63.86
53,64.22,64.22
54,64.4,64.4
55,64.58,64.58
56,64.4,64.4
57,63.71,64.04
58,63.86,63.86
59,63.86,63.86
60,63.86,63.86
